# LC-R
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
1.000000e+02,2.578099e-02,1.012474e-06,-1.517911e-03,7.389324e-05
1.021002e+02,2.578250e-02,1.477372e-06,-1.547297e-03,6.156270e-05
1.042445e+02,2.578431e-02,1.406011e-06,-1.577835e-03,5.143699e-05
1.064339e+02,2.578539e-02,1.615875e-06,-1.639809e-03,9.310623e-05
1.086692e+02,2.578775e-02,1.029584e-06,-1.648251e-03,8.974360e-05
1.109515e+02,2.578819e-02,1.180956e-06,-1.706666e-03,8.996624e-05
1.132817e+02,2.578850e-02,9.425967e-07,-1.713032e-03,6.777544e-05
1.156609e+02,2.579082e-02,1.107799e-06,-1.770482e-03,1.092089e-04
1.180900e+02,2.579177e-02,9.632178e-07,-1.766557e-03,9.705853e-05
1.205702e+02,2.579315e-02,1.697824e-06,-1.723588e-03,3.883621e-05
1.231024e+02,2.579458e-02,1.350781e-06,-1.908328e-03,1.181524e-04
1.256878e+02,2.579575e-02,1.814308e-06,-1.889140e-03,9.687915e-05
1.283275e+02,2.579578e-02,2.043712e-06,-1.958206e-03,7.754045e-05
1.310227e+02,2.579741e-02,1.468984e-06,-2.004525e-03,5.602432e-05
1.337745e+02,2.579852e-02,1.640232e-06,-2.002733e-03,4.736097e-05
1.365840e+02,2.579826e-02,1.627993e-06,-2.046794e-03,9.601361e-05
1.394526e+02,2.579807e-02,1.227102e-06,-2.152898e-03,7.997206e-05
1.423814e+02,2.579904e-02,1.224345e-06,-2.177460e-03,1.006381e-04
1.453717e+02,2.579951e-02,1.598193e-06,-2.205790e-03,5.837596e-05
1.484248e+02,2.580007e-02,1.267269e-06,-2.242350e-03,9.208080e-05
1.515420e+02,2.580066e-02,1.680786e-06,-2.288547e-03,5.402019e-05
1.547247e+02,2.580080e-02,1.618397e-06,-2.356749e-03,6.668137e-05
1.579743e+02,2.580119e-02,1.437070e-06,-2.422194e-03,5.717192e-05
1.612921e+02,2.580138e-02,1.630571e-06,-2.436417e-03,5.314283e-05
1.646796e+02,2.580202e-02,1.444371e-06,-2.509094e-03,8.519268e-05
1.681382e+02,2.580215e-02,1.934614e-06,-2.569738e-03,6.617378e-05
1.716695e+02,2.580330e-02,1.330068e-06,-2.605321e-03,6.571078e-05
1.752749e+02,2.580297e-02,1.067595e-06,-2.648260e-03,4.610617e-05
1.789560e+02,2.580501e-02,1.636876e-06,-2.701718e-03,5.002404e-05
1.827145e+02,2.580485e-02,1.888606e-06,-2.804675e-03,5.489474e-05
1.865519e+02,2.580598e-02,2.108901e-06,-2.824750e-03,6.347096e-05
1.904699e+02,2.580623e-02,1.591597e-06,-2.862145e-03,5.603328e-05
1.944702e+02,2.580687e-02,1.434250e-06,-2.913397e-03,6.296637e-05
1.985545e+02,2.580733e-02,2.517696e-06,-2.991584e-03,5.624054e-05
2.027245e+02,2.580757e-02,1.833015e-06,-3.080726e-03,6.136183e-05
2.069822e+02,2.580837e-02,1.722597e-06,-3.112022e-03,4.478077e-05
2.113292e+02,2.580947e-02,1.539048e-06,-3.186227e-03,3.028425e-05
2.157676e+02,2.580979e-02,4.098505e-06,-3.269095e-03,3.944077e-05
2.202992e+02,2.580914e-02,3.365485e-06,-3.307671e-03,5.812215e-05
2.249260e+02,2.581021e-02,6.852393e-07,-3.351920e-03,5.625601e-05
2.296499e+02,2.581115e-02,1.502393e-06,-3.470780e-03,6.623214e-05
2.344730e+02,2.581082e-02,1.459745e-06,-3.536296e-03,9.157937e-05
2.393975e+02,2.581193e-02,1.144673e-06,-3.524350e-03,8.147646e-05
2.444253e+02,2.581133e-02,1.562706e-06,-3.705564e-03,4.942000e-05
2.495588e+02,2.581137e-02,7.730878e-07,-3.753972e-03,5.351587e-05
2.548000e+02,2.581219e-02,1.912030e-06,-3.800618e-03,6.523772e-05
2.601514e+02,2.581295e-02,2.154858e-06,-3.913870e-03,8.961493e-05
2.656151e+02,2.581337e-02,1.936073e-06,-3.983030e-03,7.132342e-05
2.711936e+02,2.581354e-02,2.121082e-06,-4.070405e-03,6.925695e-05
2.768893e+02,2.581368e-02,2.017001e-06,-4.156397e-03,6.850148e-05
2.827045e+02,2.581350e-02,2.615374e-06,-4.234541e-03,7.321118e-05
2.886419e+02,2.581532e-02,1.918751e-06,-4.316107e-03,7.484744e-05
2.947040e+02,2.581424e-02,2.063663e-06,-4.407847e-03,6.301930e-05
3.008935e+02,2.581512e-02,2.159977e-06,-4.506643e-03,5.796861e-05
3.072129e+02,2.581559e-02,1.596447e-06,-4.581159e-03,6.228741e-05
3.136650e+02,2.581645e-02,2.833902e-06,-4.715095e-03,7.692770e-05
3.202526e+02,2.581620e-02,2.418954e-06,-4.762502e-03,6.445209e-05
3.269786e+02,2.581708e-02,2.064667e-06,-4.867154e-03,6.709093e-05
3.338459e+02,2.581653e-02,1.593807e-06,-4.959689e-03,8.823137e-05
3.408574e+02,2.581726e-02,1.525133e-06,-5.087666e-03,3.764463e-05
3.480161e+02,2.581771e-02,1.774662e-06,-5.179188e-03,6.185844e-05
3.553252e+02,2.581725e-02,1.703681e-06,-5.273328e-03,5.031356e-05
3.627878e+02,2.581985e-02,1.611743e-06,-5.394162e-03,1.012063e-04
3.704071e+02,2.582012e-02,3.900697e-06,-5.494279e-03,6.126675e-05
3.781864e+02,2.581970e-02,2.705157e-06,-5.621433e-03,6.237953e-05
3.861292e+02,2.582181e-02,2.066766e-06,-5.706202e-03,6.574753e-05
3.942387e+02,2.582298e-02,2.562789e-06,-5.818895e-03,9.166899e-05
4.025186e+02,2.582171e-02,2.865702e-06,-5.944842e-03,8.334186e-05
4.109723e+02,2.582245e-02,4.633256e-06,-6.092274e-03,7.957502e-05
4.196036e+02,2.582214e-02,1.610044e-06,-6.165859e-03,6.059236e-05
4.284162e+02,2.582386e-02,3.553253e-06,-6.335530e-03,7.985634e-05
4.374139e+02,2.582301e-02,3.282357e-06,-6.438833e-03,4.220421e-05
4.466005e+02,2.582380e-02,3.009339e-06,-6.535215e-03,1.206087e-04
4.559801e+02,2.582453e-02,2.402747e-06,-6.698494e-03,7.405316e-05
4.655566e+02,2.582575e-02,2.288724e-06,-6.837126e-03,8.902534e-05
4.753343e+02,2.582646e-02,3.782851e-06,-6.949451e-03,9.898952e-05
4.853174e+02,2.582655e-02,1.714169e-06,-7.102667e-03,4.968941e-05
4.955101e+02,2.582728e-02,3.365776e-06,-7.249061e-03,4.731869e-05
5.059168e+02,2.582641e-02,2.075743e-06,-7.403013e-03,4.519160e-05
5.165422e+02,2.582800e-02,5.625387e-06,-7.539799e-03,6.441026e-05
5.273907e+02,2.582768e-02,3.771985e-06,-7.689518e-03,3.924686e-05
5.384670e+02,2.582904e-02,3.237487e-06,-7.838343e-03,7.785414e-05
5.497760e+02,2.583004e-02,6.395816e-06,-8.005080e-03,5.961889e-05
5.613224e+02,2.583122e-02,2.972799e-06,-8.173243e-03,1.314603e-04
5.731114e+02,2.583168e-02,3.173654e-06,-8.304061e-03,1.131884e-04
5.851480e+02,2.583083e-02,2.309523e-06,-8.477460e-03,1.280825e-04
5.974374e+02,2.583261e-02,6.462049e-06,-8.661740e-03,5.733263e-05
6.099848e+02,2.583229e-02,3.026617e-06,-8.852186e-03,7.784622e-05
6.227958e+02,2.583383e-02,2.953278e-06,-8.995105e-03,4.380364e-05
6.358759e+02,2.583259e-02,5.798610e-06,-9.135507e-03,6.148330e-05
6.492306e+02,2.583414e-02,5.230821e-06,-9.339237e-03,9.181474e-05
6.628659e+02,2.583515e-02,2.893522e-06,-9.538561e-03,1.134578e-04
6.767875e+02,2.583600e-02,6.693927e-06,-9.744033e-03,7.765208e-05
6.910015e+02,2.583595e-02,6.635516e-06,-9.916636e-03,9.402216e-05
7.055140e+02,2.583605e-02,3.319509e-06,-1.012007e-02,1.314892e-04
7.203313e+02,2.583771e-02,2.265977e-06,-1.031772e-02,8.510747e-05
7.354598e+02,2.583887e-02,2.702287e-06,-1.054145e-02,1.449866e-04
7.509060e+02,2.584040e-02,3.429714e-06,-1.075707e-02,1.077121e-04
7.666767e+02,2.584013e-02,3.082165e-06,-1.098036e-02,7.879026e-05
7.827785e+02,2.584283e-02,3.333412e-06,-1.116555e-02,1.433384e-04
7.992185e+02,2.584220e-02,7.267857e-06,-1.137200e-02,1.578472e-04
8.160039e+02,2.584349e-02,7.067490e-06,-1.167489e-02,7.271520e-05
8.331417e+02,2.584529e-02,7.934168e-06,-1.187671e-02,8.546253e-05
8.506394e+02,2.584561e-02,4.234474e-06,-1.207924e-02,1.508693e-04
8.685047e+02,2.584609e-02,2.632749e-06,-1.231944e-02,7.733580e-05
8.867452e+02,2.584772e-02,5.331130e-06,-1.258647e-02,1.180953e-04
9.053687e+02,2.584920e-02,6.238198e-06,-1.281264e-02,1.591138e-04
9.243834e+02,2.584929e-02,2.703675e-06,-1.311280e-02,8.156758e-05
