# RC-L
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
1.000000e+02,4.306651e-02,2.889727e-06,1.410702e-02,4.439233e-05
1.021002e+02,4.307930e-02,1.768239e-06,1.440342e-02,7.403082e-05
1.042445e+02,4.308874e-02,2.465296e-06,1.467180e-02,7.879737e-05
1.064339e+02,4.309809e-02,1.583013e-06,1.500851e-02,7.241115e-05
1.086692e+02,4.310332e-02,1.936203e-06,1.531180e-02,9.494454e-05
1.109515e+02,4.310839e-02,4.731663e-06,1.564893e-02,6.892786e-05
1.132817e+02,4.311236e-02,1.724242e-06,1.595614e-02,1.019875e-04
1.156609e+02,4.311772e-02,2.278014e-06,1.629946e-02,7.804977e-05
1.180900e+02,4.312189e-02,1.775432e-06,1.669384e-02,6.344974e-05
1.205702e+02,4.312431e-02,1.792501e-06,1.693885e-02,4.634945e-05
1.231024e+02,4.312841e-02,1.441519e-06,1.730248e-02,8.013774e-05
1.256878e+02,4.313595e-02,3.003582e-06,1.769554e-02,8.795783e-05
1.283275e+02,4.313813e-02,2.500914e-06,1.807233e-02,8.161618e-05
1.310227e+02,4.313782e-02,2.310519e-06,1.848389e-02,6.946015e-05
1.337745e+02,4.314177e-02,3.172569e-06,1.885253e-02,8.628772e-05
1.365840e+02,4.314339e-02,1.743523e-06,1.927673e-02,6.526151e-05
1.394526e+02,4.314378e-02,2.111889e-06,1.964305e-02,7.023247e-05
1.423814e+02,4.314466e-02,1.732650e-06,2.006040e-02,7.952601e-05
1.453717e+02,4.314743e-02,3.101583e-06,2.045887e-02,5.604134e-05
1.484248e+02,4.315015e-02,1.316256e-06,2.092775e-02,3.777934e-05
1.515420e+02,4.314992e-02,2.074974e-06,2.133833e-02,5.117526e-05
1.547247e+02,4.315011e-02,1.674032e-06,2.180621e-02,4.535854e-05
1.579743e+02,4.315375e-02,2.203856e-06,2.225360e-02,3.329920e-05
1.612921e+02,4.315481e-02,2.132971e-06,2.273727e-02,5.692234e-05
1.646796e+02,4.315693e-02,2.515488e-06,2.320241e-02,4.522996e-05
1.681382e+02,4.315582e-02,2.527114e-06,2.366898e-02,4.379036e-05
1.716695e+02,4.315811e-02,2.584523e-06,2.415364e-02,5.377911e-05
1.752749e+02,4.315996e-02,1.740641e-06,2.467218e-02,2.798452e-05
1.789560e+02,4.315754e-02,1.733087e-06,2.522599e-02,3.208874e-05
1.827145e+02,4.315866e-02,9.141930e-07,2.571547e-02,2.936228e-05
1.865519e+02,4.315949e-02,1.510713e-06,2.627206e-02,3.494579e-05
1.904699e+02,4.316045e-02,1.376425e-06,2.684695e-02,3.941208e-05
1.944702e+02,4.316027e-02,1.832983e-06,2.738246e-02,4.858650e-05
1.985545e+02,4.316060e-02,9.463484e-07,2.797210e-02,3.606084e-05
2.027245e+02,4.316154e-02,3.224283e-06,2.857136e-02,4.070823e-05
2.069822e+02,4.316171e-02,1.636328e-06,2.915332e-02,5.008042e-05
2.113292e+02,4.315946e-02,3.930346e-06,2.975041e-02,4.438898e-05
2.157676e+02,4.315907e-02,3.444157e-06,3.038462e-02,5.491033e-05
2.202992e+02,4.315839e-02,3.782778e-06,3.103676e-02,4.168997e-05
2.249260e+02,4.315537e-02,3.488500e-06,3.166486e-02,4.655635e-05
2.296499e+02,4.316012e-02,1.729111e-06,3.232760e-02,5.287761e-05
2.344730e+02,4.315997e-02,4.179956e-06,3.302151e-02,4.894356e-05
2.393975e+02,4.316100e-02,2.960797e-06,3.367020e-02,3.699589e-05
2.444253e+02,4.315953e-02,2.885669e-06,3.441608e-02,4.822129e-05
2.495588e+02,4.316183e-02,1.527616e-06,3.512881e-02,6.531038e-05
2.548000e+02,4.316216e-02,1.034286e-06,3.587354e-02,6.677402e-05
2.601514e+02,4.316162e-02,2.593055e-06,3.660932e-02,4.604243e-05
2.656151e+02,4.316281e-02,3.951923e-06,3.738791e-02,3.693222e-05
2.711936e+02,4.315994e-02,1.856395e-06,3.817031e-02,3.362511e-05
2.768893e+02,4.316135e-02,3.804378e-06,3.895566e-02,4.211704e-05
2.827045e+02,4.316004e-02,5.395079e-06,3.977461e-02,6.982555e-05
2.886419e+02,4.316109e-02,2.730788e-06,4.061917e-02,5.352696e-05
2.947040e+02,4.316146e-02,1.835585e-06,4.145839e-02,3.765908e-05
3.008935e+02,4.316218e-02,4.006214e-06,4.233374e-02,5.482165e-05
