# RL-C
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
1.000000e+02,2.649902e-02,7.775205e-07,5.858242e-03,5.487710e-05
1.021002e+02,2.649934e-02,1.533404e-06,5.981271e-03,6.188290e-05
1.042445e+02,2.649766e-02,6.784438e-07,6.086048e-03,6.831931e-05
1.064339e+02,2.649630e-02,1.037981e-06,6.195075e-03,6.236960e-05
1.086692e+02,2.649628e-02,1.325595e-06,6.343248e-03,1.077374e-04
1.109515e+02,2.649371e-02,1.769933e-06,6.486766e-03,7.641878e-05
1.132817e+02,2.649395e-02,9.146686e-07,6.620288e-03,9.304042e-05
1.156609e+02,2.649193e-02,1.709218e-06,6.802008e-03,9.336108e-05
1.180900e+02,2.649018e-02,1.947429e-06,6.858636e-03,6.830282e-05
1.205702e+02,2.648985e-02,1.712541e-06,7.063501e-03,5.054643e-05
1.231024e+02,2.648978e-02,1.094917e-06,7.202209e-03,1.085627e-04
1.256878e+02,2.606358e-02,3.305193e-04,7.360993e-03,1.830266e-04
1.283275e+02,2.648722e-02,1.880165e-06,7.510951e-03,7.632740e-05
1.310227e+02,2.648614e-02,1.738657e-06,7.682380e-03,1.000190e-04
1.337745e+02,2.648518e-02,1.830015e-06,7.806790e-03,7.880819e-05
1.365840e+02,2.648386e-02,1.357856e-06,8.006371e-03,7.996711e-05
1.394526e+02,2.648445e-02,1.328977e-06,8.147889e-03,5.476329e-05
1.423814e+02,2.648392e-02,1.081937e-06,8.372590e-03,7.760391e-05
1.453717e+02,2.648513e-02,1.137016e-06,8.496382e-03,6.699958e-05
1.484248e+02,2.648453e-02,1.386255e-06,8.692003e-03,7.860778e-05
1.515420e+02,2.648481e-02,1.317893e-06,8.867746e-03,5.911935e-05
1.547247e+02,2.648358e-02,1.732107e-06,9.029344e-03,4.450281e-05
1.579743e+02,2.648325e-02,1.984693e-06,9.241036e-03,3.971406e-05
1.612921e+02,2.648204e-02,1.575047e-06,9.443531e-03,4.620236e-05
1.646796e+02,2.648238e-02,1.453625e-06,9.646754e-03,7.375227e-05
1.681382e+02,2.648257e-02,2.069791e-06,9.823816e-03,3.254255e-05
1.716695e+02,2.648167e-02,1.645679e-06,1.006808e-02,3.411540e-05
1.752749e+02,2.648253e-02,1.796876e-06,1.027572e-02,5.140413e-05
1.789560e+02,2.648372e-02,1.408263e-06,1.048681e-02,4.231157e-05
1.827145e+02,2.648491e-02,1.838880e-06,1.069819e-02,2.590048e-05
1.865519e+02,2.648518e-02,1.524529e-06,1.090734e-02,3.376918e-05
1.904699e+02,2.648655e-02,1.705693e-06,1.116752e-02,6.173143e-05
1.944702e+02,2.648709e-02,1.443251e-06,1.141181e-02,3.916397e-05
1.985545e+02,2.648759e-02,1.460394e-06,1.163313e-02,4.534756e-05
2.027245e+02,2.648852e-02,1.539648e-06,1.185855e-02,5.896601e-05
2.069822e+02,2.648978e-02,1.342349e-06,1.210945e-02,5.388481e-05
2.113292e+02,2.649196e-02,3.317177e-06,1.235458e-02,6.526208e-05
2.157676e+02,2.649157e-02,3.504382e-06,1.261492e-02,5.905359e-05
2.202992e+02,2.649107e-02,2.643045e-06,1.289401e-02,3.800263e-05
2.249260e+02,2.649226e-02,2.763942e-06,1.317276e-02,6.101746e-05
2.296499e+02,2.649146e-02,1.184573e-06,1.345232e-02,4.975451e-05
2.344730e+02,2.649334e-02,2.210384e-06,1.372717e-02,7.425245e-05
2.393975e+02,2.649227e-02,1.351635e-06,1.400455e-02,4.769682e-05
2.444253e+02,2.649124e-02,1.989442e-06,1.434993e-02,7.066646e-05
2.495588e+02,2.649206e-02,1.586570e-06,1.461984e-02,5.434893e-05
2.548000e+02,2.649116e-02,1.200802e-06,1.496565e-02,8.623442e-05
2.601514e+02,2.648990e-02,2.397326e-06,1.522729e-02,7.961338e-05
2.656151e+02,2.648961e-02,1.656652e-06,1.556463e-02,5.316106e-05
2.711936e+02,2.648861e-02,1.496597e-06,1.591887e-02,6.476292e-05
2.768893e+02,2.648862e-02,2.655089e-06,1.623716e-02,7.883711e-05
2.827045e+02,2.648674e-02,3.643143e-06,1.659418e-02,3.906496e-05
2.886419e+02,2.648635e-02,1.311440e-06,1.689886e-02,4.807217e-05
2.947040e+02,2.648697e-02,1.682515e-06,1.725252e-02,7.895118e-05
3.008935e+02,2.648736e-02,1.914666e-06,1.765916e-02,1.147245e-04
3.072129e+02,2.648673e-02,1.715757e-06,1.802077e-02,2.897990e-05
3.136650e+02,2.648620e-02,1.876050e-06,1.838473e-02,3.065506e-05
3.202526e+02,2.648657e-02,1.400106e-06,1.876808e-02,5.589057e-05
3.269786e+02,2.648293e-02,3.633080e-06,1.917584e-02,8.371642e-05
3.338459e+02,2.648215e-02,1.918071e-06,1.960848e-02,4.703925e-05
3.408574e+02,2.648220e-02,1.899498e-06,1.995915e-02,9.280697e-05
3.480161e+02,2.648080e-02,1.866705e-06,2.044248e-02,4.922375e-05
3.553252e+02,2.648066e-02,2.668291e-06,2.088063e-02,5.563861e-05
3.627878e+02,2.648009e-02,1.210028e-06,2.126898e-02,5.172733e-05
3.704071e+02,2.647789e-02,1.973501e-06,2.172888e-02,5.952001e-05
3.781864e+02,2.647754e-02,1.808439e-06,2.219177e-02,6.746196e-05
3.861292e+02,2.647517e-02,1.903837e-06,2.267211e-02,8.319916e-05
3.942387e+02,2.647467e-02,1.323029e-06,2.311317e-02,5.213047e-05
4.025186e+02,2.647357e-02,1.914201e-06,2.360763e-02,5.601639e-05
4.109723e+02,2.647350e-02,2.293902e-06,2.411958e-02,7.470735e-05
4.196036e+02,2.647306e-02,3.883116e-06,2.461462e-02,7.566652e-05
4.284162e+02,2.647143e-02,3.500879e-06,2.513564e-02,9.430833e-05
4.374139e+02,2.646921e-02,3.286340e-06,2.568771e-02,1.065178e-04
4.466005e+02,2.646971e-02,2.703558e-06,2.620372e-02,7.376520e-05
4.559801e+02,2.646721e-02,2.477328e-06,2.677663e-02,9.737715e-05
4.655566e+02,2.646680e-02,1.369082e-06,2.735534e-02,6.020566e-05
4.753343e+02,2.646475e-02,3.329120e-06,2.794901e-02,8.774302e-05
4.853174e+02,2.646240e-02,3.062539e-06,2.848542e-02,5.269630e-05
4.955101e+02,2.646070e-02,2.724475e-06,2.911440e-02,7.139954e-05
5.059168e+02,2.645869e-02,5.899436e-06,2.970743e-02,6.081268e-05
5.165422e+02,2.645653e-02,5.755156e-06,3.031870e-02,8.781636e-05
5.273907e+02,2.645243e-02,2.633299e-06,3.099503e-02,3.845395e-05
5.384670e+02,2.644981e-02,2.611622e-06,3.158232e-02,6.229509e-05
5.497760e+02,2.644958e-02,6.113807e-06,3.228419e-02,6.871594e-05
5.613224e+02,2.644706e-02,1.717465e-06,3.292100e-02,8.302132e-05
5.731114e+02,2.644513e-02,2.497857e-06,3.364171e-02,1.042434e-04
5.851480e+02,2.644357e-02,2.552141e-06,3.435701e-02,8.206308e-05
5.974374e+02,2.644201e-02,2.378060e-06,3.507231e-02,5.188836e-05
6.099848e+02,2.643955e-02,2.510433e-06,3.579767e-02,5.311591e-05
6.227958e+02,2.643494e-02,1.843089e-06,3.658433e-02,1.397640e-04
6.358759e+02,2.643376e-02,5.192870e-06,3.730919e-02,8.464358e-05
6.492306e+02,2.643220e-02,4.658820e-06,3.810292e-02,1.240513e-04
6.628659e+02,2.642917e-02,7.986728e-06,3.887658e-02,2.109058e-04
6.767875e+02,2.642790e-02,6.527544e-06,3.965957e-02,6.646351e-05
6.910015e+02,2.642425e-02,3.390602e-06,4.054338e-02,9.998663e-05
7.055140e+02,2.642188e-02,5.562984e-06,4.138693e-02,7.457378e-05
7.203313e+02,2.641927e-02,7.649533e-06,4.226652e-02,4.766716e-05
7.354598e+02,2.641470e-02,4.284406e-06,4.314738e-02,1.331802e-04
7.509060e+02,2.641297e-02,3.874542e-06,4.406064e-02,1.475785e-04
7.666767e+02,2.640974e-02,2.622608e-06,4.492816e-02,1.312763e-04
7.827785e+02,2.640511e-02,4.906521e-06,4.591014e-02,6.874803e-05
7.992185e+02,2.640081e-02,5.548801e-06,4.688441e-02,1.074539e-04
8.160039e+02,2.639772e-02,4.772801e-06,4.780653e-02,8.076707e-05
8.331417e+02,2.639277e-02,1.032380e-05,4.886870e-02,7.477137e-05
8.506394e+02,2.638870e-02,2.679167e-06,4.984290e-02,1.145144e-04
8.685047e+02,2.638227e-02,3.444947e-06,5.088720e-02,6.536404e-05
8.867452e+02,2.637650e-02,4.279937e-06,5.191422e-02,1.293364e-04
9.053687e+02,2.637224e-02,2.759622e-06,5.301418e-02,1.048757e-04
9.243834e+02,2.636593e-02,4.549592e-06,5.416443e-02,1.486041e-04
9.437974e+02,2.636126e-02,8.839593e-06,5.524539e-02,1.466825e-04
9.636192e+02,2.635606e-02,6.285520e-06,5.637623e-02,7.990036e-05
9.838573e+02,2.635313e-02,3.324213e-06,5.757650e-02,1.440170e-04
1.004520e+03,2.634496e-02,6.937859e-06,5.875763e-02,1.011108e-04
1.025617e+03,2.634024e-02,2.762425e-06,5.998233e-02,1.209083e-04
1.047158e+03,2.633637e-02,3.973577e-06,6.119172e-02,1.904392e-04
1.069150e+03,2.632995e-02,3.643648e-06,6.248946e-02,1.513967e-04
1.091605e+03,2.632334e-02,4.442530e-06,6.369199e-02,1.088456e-04
1.114531e+03,2.631652e-02,3.804667e-06,6.510977e-02,1.139083e-04
1.137938e+03,2.630902e-02,6.138035e-06,6.641824e-02,9.991652e-05
1.161837e+03,2.630184e-02,4.865293e-06,6.776885e-02,1.960508e-04
1.186238e+03,2.629580e-02,5.449227e-06,6.916142e-02,1.587519e-04
1.211152e+03,2.628689e-02,1.893932e-06,7.059174e-02,7.519177e-05
1.236589e+03,2.627745e-02,4.453348e-06,7.205795e-02,1.177472e-04
1.262560e+03,2.627020e-02,5.419306e-06,7.350688e-02,1.033484e-04
1.289076e+03,2.626122e-02,4.679680e-06,7.503306e-02,1.633439e-04
1.316150e+03,2.625325e-02,8.780438e-06,7.653021e-02,1.120859e-04
1.343792e+03,2.624017e-02,3.636461e-06,7.811729e-02,1.155463e-04
1.372014e+03,2.623082e-02,1.173851e-05,7.971829e-02,2.308551e-04
1.400829e+03,2.621812e-02,1.111758e-05,8.129893e-02,3.912752e-04
1.430250e+03,2.620816e-02,6.443813e-06,8.303739e-02,1.940932e-04
1.460288e+03,2.619799e-02,6.460630e-06,8.470694e-02,2.374807e-04
1.490957e+03,2.618317e-02,4.242183e-06,8.640688e-02,1.488994e-04
1.522271e+03,2.617108e-02,8.418304e-06,8.820005e-02,1.125851e-04
1.554242e+03,2.615697e-02,5.855603e-06,8.992136e-02,2.408620e-04
1.586884e+03,2.614302e-02,1.134710e-05,9.180287e-02,1.696426e-04
1.620212e+03,2.612779e-02,1.596840e-05,9.363904e-02,3.296794e-04
1.654240e+03,2.611166e-02,6.699882e-06,9.548293e-02,1.562665e-04
1.688983e+03,2.609677e-02,6.844029e-06,9.741800e-02,9.125219e-05
1.724455e+03,2.607938e-02,1.539331e-05,9.938408e-02,1.752561e-04
1.760672e+03,2.606010e-02,7.247428e-06,1.013636e-01,1.302550e-04
1.797650e+03,2.603950e-02,1.086636e-05,1.034052e-01,3.075467e-04
1.835404e+03,2.602247e-02,1.463340e-05,1.054746e-01,3.360739e-04
1.873952e+03,2.600069e-02,1.005551e-05,1.075682e-01,2.807525e-04
1.913309e+03,2.598419e-02,7.777527e-06,1.096798e-01,2.383128e-04
1.953492e+03,2.596173e-02,1.235655e-05,1.119104e-01,3.594260e-04
1.994520e+03,2.593659e-02,5.112692e-06,1.141881e-01,2.596068e-04
2.036409e+03,2.591702e-02,5.587029e-06,1.163816e-01,1.181606e-04
2.079178e+03,2.589063e-02,2.209974e-05,1.186634e-01,4.144582e-04
2.122845e+03,2.586500e-02,1.044063e-05,1.210071e-01,4.023398e-04
2.167430e+03,2.584276e-02,1.269121e-05,1.234160e-01,2.501809e-04
2.212950e+03,2.581186e-02,2.372093e-05,1.257778e-01,4.616409e-04
2.259427e+03,2.578421e-02,3.146287e-05,1.282564e-01,4.601062e-04
2.306880e+03,2.575799e-02,2.068420e-05,1.308432e-01,3.035567e-04
2.355329e+03,2.572743e-02,1.391517e-05,1.332492e-01,3.638911e-04
2.404796e+03,2.570108e-02,1.142379e-05,1.358240e-01,1.812097e-04
2.455302e+03,2.566698e-02,7.387168e-06,1.386330e-01,2.022896e-04
2.506869e+03,2.563141e-02,9.921231e-06,1.410860e-01,4.082808e-04
2.559518e+03,2.560224e-02,1.231664e-05,1.439871e-01,5.938355e-04
2.613274e+03,2.556458e-02,1.004890e-05,1.467172e-01,9.213775e-04
2.668158e+03,2.552772e-02,1.660777e-05,1.495321e-01,5.457042e-04
2.724195e+03,2.333269e-02,2.430699e-03,1.517313e-01,3.477932e-02
2.781409e+03,2.544846e-02,2.988821e-05,1.551369e-01,8.220385e-04
