# RLC
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
1.000000e+02,1.947662e-04,6.553714e-07,-1.531320e+00,6.677418e-03
1.021002e+02,1.990609e-04,1.469261e-06,-1.533449e+00,6.479872e-03
1.042445e+02,2.025971e-04,9.540846e-07,-1.534942e+00,2.633242e-03
1.064339e+02,2.066506e-04,1.711879e-06,-1.531619e+00,5.579707e-03
1.086692e+02,2.108345e-04,1.201345e-06,-1.530295e+00,5.107021e-03
1.109515e+02,2.153097e-04,1.250625e-06,-1.529720e+00,3.540410e-03
1.132817e+02,2.198032e-04,1.187688e-06,-1.528432e+00,4.157185e-03
1.156609e+02,2.244231e-04,1.140137e-06,-1.525635e+00,5.344657e-03
1.180900e+02,2.299040e-04,1.210790e-06,-1.528306e+00,3.262938e-03
1.205702e+02,2.345486e-04,1.050930e-06,-1.525716e+00,5.325486e-03
1.231024e+02,2.389183e-04,1.503016e-06,-1.528301e+00,6.287502e-03
1.256878e+02,2.439727e-04,1.376669e-06,-1.525920e+00,4.036489e-03
1.283275e+02,2.481885e-04,6.796695e-07,-1.527488e+00,5.304008e-03
1.310227e+02,2.537922e-04,1.922989e-06,-1.524585e+00,4.500916e-03
1.337745e+02,2.581535e-04,1.108901e-06,-1.524127e+00,4.998988e-03
1.365840e+02,2.645532e-04,1.384189e-06,-1.524115e+00,6.695929e-03
1.394526e+02,2.705884e-04,9.914585e-07,-1.525841e+00,4.224060e-03
1.423814e+02,2.753225e-04,1.388565e-06,-1.523040e+00,1.670810e-03
1.453717e+02,2.816628e-04,7.998128e-07,-1.524160e+00,4.687885e-03
1.484248e+02,2.872195e-04,1.567750e-06,-1.523321e+00,3.407524e-03
1.515420e+02,2.934876e-04,1.449345e-06,-1.522534e+00,5.665075e-03
1.547247e+02,2.989937e-04,1.044215e-06,-1.522649e+00,3.627852e-03
1.579743e+02,3.051766e-04,1.448319e-06,-1.520385e+00,4.783509e-03
1.612921e+02,3.115202e-04,1.109977e-06,-1.522900e+00,4.183287e-03
1.646796e+02,3.176619e-04,7.521138e-07,-1.521741e+00,3.181895e-03
1.681382e+02,3.251142e-04,1.367265e-06,-1.519372e+00,4.479310e-03
1.716695e+02,3.311930e-04,1.014428e-06,-1.516896e+00,4.545862e-03
1.752749e+02,3.376738e-04,1.575452e-06,-1.518352e+00,4.534072e-03
1.789560e+02,3.444909e-04,1.486879e-06,-1.517767e+00,2.993728e-03
1.827145e+02,3.512346e-04,1.258531e-06,-1.517227e+00,3.452483e-03
1.865519e+02,3.584716e-04,1.160586e-06,-1.516060e+00,3.737975e-03
1.904699e+02,3.663199e-04,1.234517e-06,-1.516596e+00,5.430980e-03
1.944702e+02,3.742771e-04,2.026294e-06,-1.513615e+00,4.567713e-03
1.985545e+02,3.807244e-04,1.670417e-06,-1.514291e+00,2.724261e-03
2.027245e+02,3.897950e-04,1.452163e-06,-1.512959e+00,3.904287e-03
2.069822e+02,3.970684e-04,2.070972e-06,-1.511834e+00,2.877808e-03
2.113292e+02,4.048155e-04,1.375553e-06,-1.510331e+00,2.247048e-03
